Samples.DateAndTime,Samples.Site,Sites.Name,Samples.Location,Locations.Name,Samples.Sample,Samples.TakenBy,Laboratories.Name,Samples.LabRef,SampleDepths.DepthNo,SampleDepths.DepthTime,SampleDepths.Depth,SampleValues.Param,Params.Name,Params.Units,SampleValues.Val,SampleValues.Qualifier,SampleValues.Quality,Samples.Comments,SampleDepths.Comments,SampleValues.Comments,Params.BioKingdom,Params.BioPhylum,Params.BioClass,Params.BioOrder,Params.BioFamily,Params.BioGenus,Params.BioSpecies,Datasets
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,171,Suspended Solids - Total (TSS),mg/l,16,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,"Method: Solids, Total Suspended dried at 104 ± 3 °C",,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,260.01,Nitrite as N,mg/l,0.002,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,260.02,Nitrate as N,mg/l,0.002,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,260.03,Oxidised Nitrite + Nitrate - Total as N,mg/L,0.002,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,260.04,Ammonia as N,mg/l,0.005,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,260.08,Kjeldahl Nitrogen (TKN) as N - Total,mg/l,0.34,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,260.15,Nitrogen - Total as N,mg/L,0.34,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,268.14,Phosphorus as P - Total,mg/l,0.011,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,268.18,Phosphorous - Reactive - Filtered,mg/l,0.003,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
22/06/2021 12:40,418,ARTHURS LAKE,21,MORASS AT LONE TREE - LLL monitoring,81403,KM/JB,Analytical Services,102679,1,22/06/2021 12:40,0.2,431,Chlorophyll A (or Chlorophyll),ug/L,3.4,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 80945, EnteredBy: macfarlanek 09/07/2021 12:44",Surface grab sample,Method: Chlorophyll a in Water,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
