Variable,Date,Depth,Data,QC
Unidentified Chrysophyte,2015-09-10 10:32:00,0.2,97.0,4
Unidentified Chrysophyte,2016-01-28 10:35:00,0.2,10.0,4
Unidentified Chrysophyte,2016-09-14 12:40:00,0.2,500.0,4
Unidentified Chrysophyte,2017-01-27 15:15:00,0.2,77.0,4
Unidentified Chrysophyte,2017-04-28 09:20:00,0.2,110.0,4
Unidentified Chrysophyte,2017-06-21 16:30:00,0.2,210.0,4
Unidentified Chrysophyte,2017-07-25 17:00:00,0.2,270.0,4
Unidentified Chrysophyte,2017-09-11 16:40:00,0.2,310.0,4
Unidentified Chrysophyte,2017-10-18 10:15:00,0.2,400.0,4
Unidentified Chrysophyte,2018-01-11 18:10:00,0.2,530.0,4
Unidentified Chrysophyte,2018-05-08 14:20:00,0.2,230.0,4
Unidentified Chrysophyte,2018-07-26 14:30:00,0.2,5300.0,4
Unidentified Chrysophyte,2018-09-26 12:30:00,0.2,220.0,4
Unidentified Chrysophyte,2018-11-28 10:45:00,0.2,270.0,4
Unidentified Chrysophyte,2019-01-09 16:35:00,0.2,77.0,4
Unidentified Chrysophyte,2019-02-13 17:25:00,0.2,370.0,4
Unidentified Chrysophyte,2019-03-12 16:20:00,0.2,1.0,4
Unidentified Chrysophyte,2019-04-16 14:04:00,0.2,220.0,4
Unidentified Chrysophyte,2019-06-20 12:00:00,0.2,170.0,4
Unidentified Chrysophyte,2019-07-23 17:00:00,0.2,280.0,4
Unidentified Chrysophyte,2019-08-27 14:50:00,0.2,1800.0,4
Unidentified Chrysophyte,2019-09-26 09:10:00,0.2,1500.0,4
Unidentified Chrysophyte,2019-10-23 09:00:00,0.2,490.0,4
Unidentified Chrysophyte,2019-11-19 15:10:00,0.2,830.0,4
Unidentified Chrysophyte,2019-12-16 12:55:00,0.2,230.0,4
Unidentified Chrysophyte,2020-01-23 12:07:00,0.2,1.0,4
Unidentified Chrysophyte,2020-02-17 15:45:00,0.2,6.0,4
Unidentified Chrysophyte,2020-05-13 13:40:00,0.2,1.0,4
Unidentified Chrysophyte,2020-06-10 14:45:00,0.2,290.0,4
Unidentified Chrysophyte,2020-08-13 10:00:00,0.2,940.0,4
Unidentified Chrysophyte,2020-10-20 14:30:00,0.2,920.0,4
Unidentified Chrysophyte,2020-12-22 14:15:00,0.2,310.0,4
Unidentified Chrysophyte,2021-02-24 11:10:00,0.2,450.0,4
Unidentified Chrysophyte,2021-04-29 13:55:00,0.2,490.0,4
Unidentified Chrysophyte,2021-06-22 12:40:00,0.2,290.0,4
