Variable,Date,Depth,Data,QC
PAR uni-directional in water,2015-07-15 11:26:00,3.456,32.8,11
PAR uni-directional in water,2015-07-15 11:26:00,0.285,492.2,11
PAR uni-directional in water,2015-07-15 11:26:00,3.041,49.1,11
PAR uni-directional in water,2015-07-15 11:26:00,0.987,284.6,11
PAR uni-directional in water,2015-07-15 11:26:00,0.503,444.3,11
PAR uni-directional in water,2015-07-15 11:26:00,1.525,174.1,11
PAR uni-directional in water,2015-07-15 11:26:00,2.509,73.0,11
PAR uni-directional in water,2015-07-15 11:26:00,2.107,116.5,11
PAR uni-directional in water,2016-01-28 10:31:00,2.993,48.1,11
PAR uni-directional in water,2016-01-28 10:31:00,2.639,60.8,11
PAR uni-directional in water,2016-01-28 10:31:00,2.044,86.2,11
PAR uni-directional in water,2016-01-28 10:31:00,1.549,124.5,11
PAR uni-directional in water,2016-01-28 10:31:00,1.037,177.2,11
PAR uni-directional in water,2016-01-28 10:31:00,0.09,594.5,11
PAR uni-directional in water,2016-01-28 10:31:00,0.483,291.1,11
PAR uni-directional in water,2016-05-26 14:13:00,3.545,6.8,11
PAR uni-directional in water,2016-05-26 14:13:00,0.26,148.7,11
PAR uni-directional in water,2016-05-26 14:13:00,0.524,119.9,11
PAR uni-directional in water,2016-05-26 14:13:00,1.081,62.1,11
PAR uni-directional in water,2016-05-26 14:13:00,1.472,50.4,11
PAR uni-directional in water,2016-05-26 14:13:00,2.149,27.3,11
PAR uni-directional in water,2016-05-26 14:13:00,2.556,19.3,11
PAR uni-directional in water,2016-05-26 14:13:00,3.172,11.7,11
