Variable,Date,Depth,Data,QC
AirTemp,2015-01-01,0,,N
AirTemp,2015-01-02,0,11.036285,N
AirTemp,2015-01-03,0,13.197812,N
AirTemp,2015-01-04,0,21.45125,N
AirTemp,2015-01-05,0,12.551215,N
AirTemp,2015-01-06,0,12.546875,N
AirTemp,2015-01-07,0,13.139583,N
AirTemp,2015-01-08,0,14.461458,N
AirTemp,2015-01-09,0,15.120139,N
AirTemp,2015-01-10,0,8.172917,N
AirTemp,2015-01-11,0,10.141667,N
AirTemp,2015-01-12,0,14.103125,N
AirTemp,2015-01-13,0,15.244565,N
AirTemp,2015-01-14,0,12.083333,N
AirTemp,2015-01-15,0,12.78125,N
AirTemp,2015-01-16,0,9.6125,N
AirTemp,2015-01-17,0,7.250107,N
AirTemp,2015-01-18,0,5.507889,N
AirTemp,2015-01-19,0,4.571736,N
AirTemp,2015-01-20,0,7.594792,N
AirTemp,2015-01-21,0,10.284928,N
AirTemp,2015-01-22,0,15.391667,N
AirTemp,2015-01-23,0,15.623542,N
AirTemp,2015-01-24,0,14.064549,N
AirTemp,2015-01-25,0,10.894132,N
AirTemp,2015-01-26,0,6.167222,N
AirTemp,2015-01-27,0,6.257292,N
AirTemp,2015-01-28,0,6.764583,N
AirTemp,2015-01-29,0,6.673958,N
AirTemp,2015-01-30,0,6.070833,N
AirTemp,2015-01-31,0,6.911458,N
AirTemp,2015-02-01,0,8.283333,N
AirTemp,2015-02-02,0,9.408333,N
AirTemp,2015-02-03,0,10.107292,N
AirTemp,2015-02-04,0,8.809697,N
AirTemp,2015-02-05,0,6.73587,N
AirTemp,2015-02-06,0,12.3,N
AirTemp,2015-02-07,0,16.257609,N
AirTemp,2015-02-08,0,19.369792,N
AirTemp,2015-02-09,0,13.76875,N
AirTemp,2015-02-10,0,10.218478,N
AirTemp,2015-02-11,0,12.016667,N
AirTemp,2015-02-12,0,16.29971,N
AirTemp,2015-02-13,0,8.421875,N
AirTemp,2015-02-14,0,9.541667,N
AirTemp,2015-02-15,0,12.40625,N
AirTemp,2015-02-16,0,14.201701,N
AirTemp,2015-02-17,0,15.069271,N
AirTemp,2015-02-18,0,12.078125,N
AirTemp,2015-02-19,0,13.588542,N
AirTemp,2015-02-20,0,13.363542,N
AirTemp,2015-02-21,0,16.429167,N
AirTemp,2015-02-22,0,16.344792,N
AirTemp,2015-02-23,0,21.062639,N
AirTemp,2015-02-24,0,14.511076,N
AirTemp,2015-02-25,0,8.372917,N
AirTemp,2015-02-26,0,9.807292,N
AirTemp,2015-02-27,0,11.644792,N
AirTemp,2015-02-28,0,9.78125,N
AirTemp,2015-03-01,0,10.63691,N
AirTemp,2015-03-02,0,6.604618,N
AirTemp,2015-03-03,0,7.545903,N
AirTemp,2015-03-04,0,8.7875,N
AirTemp,2015-03-05,0,8.718056,N
AirTemp,2015-03-06,0,3.174653,N
AirTemp,2015-03-07,0,6.330035,N
AirTemp,2015-03-08,0,10.300799,N
AirTemp,2015-03-09,0,10.55,N
AirTemp,2015-03-10,0,9.89375,N
AirTemp,2015-03-11,0,8.051042,N
AirTemp,2015-03-12,0,9.145729,N
AirTemp,2015-03-13,0,5.533472,N
AirTemp,2015-03-14,0,6.903472,N
AirTemp,2015-03-15,0,8.257049,N
AirTemp,2015-03-16,0,4.146875,N
AirTemp,2015-03-17,0,5.85,N
AirTemp,2015-03-18,0,8.915799,N
AirTemp,2015-03-19,0,11.975435,N
AirTemp,2015-03-20,0,9.971354,N
AirTemp,2015-03-21,0,4.753403,N
AirTemp,2015-03-22,0,5.85625,N
AirTemp,2015-03-23,0,10.191007,N
AirTemp,2015-03-24,0,9.916632,N
AirTemp,2015-03-25,0,3.940625,N
AirTemp,2015-03-26,0,5.638542,N
AirTemp,2015-03-27,0,4.472917,N
AirTemp,2015-03-28,0,3.770903,N
AirTemp,2015-03-29,0,8.152083,N
AirTemp,2015-03-30,0,8.488125,N
AirTemp,2015-03-31,0,9.215278,N
AirTemp,2015-04-01,0,10.403125,N
AirTemp,2015-04-02,0,14.156319,N
AirTemp,2015-04-03,0,3.597743,N
AirTemp,2015-04-04,0,4.35,N
AirTemp,2015-04-05,0,6.184375,N
AirTemp,2015-04-06,0,8.457609,N
AirTemp,2015-04-07,0,6.623958,N
AirTemp,2015-04-08,0,5.560417,N
AirTemp,2015-04-09,0,4.285417,N
AirTemp,2015-04-10,0,6.616667,N
AirTemp,2015-04-11,0,7.011458,N
AirTemp,2015-04-12,0,6.386458,N
AirTemp,2015-04-13,0,3.315625,N
AirTemp,2015-04-14,0,3.622917,N
AirTemp,2015-04-15,0,3.996875,N
AirTemp,2015-04-16,0,10.207292,N
AirTemp,2015-04-17,0,7.177083,N
AirTemp,2015-04-18,0,7.439583,N
AirTemp,2015-04-19,0,6.028368,N
AirTemp,2015-04-20,0,0.529167,N
AirTemp,2015-04-21,0,2.033333,N
AirTemp,2015-04-22,0,7.179167,N
AirTemp,2015-04-23,0,7.783333,N
AirTemp,2015-04-24,0,7.5875,N
AirTemp,2015-04-25,0,6.858333,N
AirTemp,2015-04-26,0,6.075,N
AirTemp,2015-04-27,0,2.965625,N
AirTemp,2015-04-28,0,3.467708,N
AirTemp,2015-04-29,0,3.726042,N
AirTemp,2015-04-30,0,4.448958,N
AirTemp,2015-05-01,0,4.676042,N
AirTemp,2015-05-02,0,7.611458,N
AirTemp,2015-05-03,0,8.019063,N
AirTemp,2015-05-04,0,6.888542,N
AirTemp,2015-05-05,0,6.608889,N
AirTemp,2015-05-06,0,5.703229,N
AirTemp,2015-05-07,0,0.65309,N
AirTemp,2015-05-08,0,-0.711875,N
AirTemp,2015-05-09,0,4.202569,N
AirTemp,2015-05-10,0,4.788333,N
AirTemp,2015-05-11,0,2.243993,N
AirTemp,2015-05-12,0,1.820486,N
AirTemp,2015-05-13,0,1.633507,N
AirTemp,2015-05-14,0,-0.398819,N
AirTemp,2015-05-15,0,4.05441,N
AirTemp,2015-05-16,0,3.926042,N
AirTemp,2015-05-17,0,1.622917,N
AirTemp,2015-05-18,0,5.16875,N
AirTemp,2015-05-19,0,4.290694,N
AirTemp,2015-05-20,0,5.88125,N
AirTemp,2015-05-21,0,3.767708,N
AirTemp,2015-05-22,0,1.311458,N
AirTemp,2015-05-23,0,0.845833,N
AirTemp,2015-05-24,0,1.210417,N
AirTemp,2015-05-25,0,3.08125,N
AirTemp,2015-05-26,0,2.017708,N
AirTemp,2015-05-27,0,4.872917,N
AirTemp,2015-05-28,0,5.954826,N
AirTemp,2015-05-29,0,4.840139,N
AirTemp,2015-05-30,0,1.402569,N
AirTemp,2015-05-31,0,3.414583,N
AirTemp,2015-06-01,0,0.171528,N
AirTemp,2015-06-02,0,-2.229722,N
AirTemp,2015-06-03,0,-0.780208,N
AirTemp,2015-06-04,0,-1.732292,N
AirTemp,2015-06-05,0,-1.254167,N
AirTemp,2015-06-06,0,2.044792,N
