Variable,Date,Data
Salinity,23/11/2023 11:22:50,0.030148
Salinity,23/11/2023 11:30:00,0.030893
Salinity,23/11/2023 11:45:00,0.030878
Salinity,23/11/2023 11:50:35,0.025861
Salinity,23/11/2023 12:00:00,0.030886
Salinity,23/11/2023 12:15:00,0.030899
Salinity,23/11/2023 12:30:00,0.030894
Salinity,23/11/2023 12:45:00,0.030893
Salinity,23/11/2023 13:00:00,0.030908
Salinity,23/11/2023 13:15:00,0.030909
Salinity,23/11/2023 13:30:00,0.030899
Salinity,23/11/2023 13:45:00,0.030904
Salinity,23/11/2023 14:00:00,0.030916
Salinity,23/11/2023 14:15:00,0.030928
Salinity,23/11/2023 14:30:00,0.03093
Salinity,23/11/2023 14:45:00,0.030958
Salinity,23/11/2023 15:00:00,0.030992
Salinity,23/11/2023 15:15:00,0.030994
Salinity,23/11/2023 15:30:00,0.030976
Salinity,23/11/2023 15:45:00,0.03099
Salinity,23/11/2023 16:00:00,0.031015
Salinity,23/11/2023 16:15:00,0.031021
Salinity,23/11/2023 16:30:00,0.031007
Salinity,23/11/2023 16:45:00,0.031074
Salinity,23/11/2023 17:00:00,0.031036
Salinity,23/11/2023 17:15:00,0.030213
Salinity,23/11/2023 17:30:00,0.030028
Salinity,23/11/2023 17:45:00,0.030068
Salinity,23/11/2023 18:00:00,0.031133
Salinity,23/11/2023 18:15:00,0.031089
Salinity,23/11/2023 18:30:00,0.031097
Salinity,23/11/2023 18:45:00,0.031112
Salinity,23/11/2023 19:00:00,0.030774
Salinity,23/11/2023 19:15:00,0.031051
Salinity,23/11/2023 19:30:00,0.031003
Salinity,23/11/2023 19:45:00,0.031
Salinity,23/11/2023 20:00:00,0.031029
Salinity,23/11/2023 20:15:00,0.031087
Salinity,23/11/2023 20:30:00,0.03096
Salinity,23/11/2023 21:00:00,0.031084
Salinity,23/11/2023 21:15:00,0.031106
Salinity,23/11/2023 21:30:00,0.031147
Salinity,23/11/2023 21:45:00,0.031127
Salinity,23/11/2023 22:00:00,0.031097
Salinity,23/11/2023 22:15:00,0.03113
Salinity,23/11/2023 22:30:00,0.031133
Salinity,23/11/2023 22:45:00,0.031145
