Variable,Date,Depth,Data,QC
Bromide as Br,2012-07-10 13:30:00,0.2,0.1,11
Bromide as Br,2012-09-04 12:20:00,0.2,0.1,11
Bromide as Br,2012-11-08 11:15:00,0.2,0.1,11
Bromide as Br,2013-01-10 12:15:00,0.2,0.1,11
Bromide as Br,2013-03-07 11:00:00,0.2,0.1,11
Bromide as Br,2013-05-08 11:54:00,0.2,0.1,11
Bromide as Br,2013-06-19 13:00:00,0.2,0.1,11
Bromide as Br,2013-07-10 14:45:00,0.2,0.1,11
Bromide as Br,2013-09-17 14:00:00,0.2,0.1,11
Bromide as Br,2013-11-12 14:20:00,0.2,0.1,11
Bromide as Br,2014-01-08 15:00:00,0.2,0.1,4
Bromide as Br,2014-03-05 12:00:00,0.2,0.1,4
Bromide as Br,2014-05-12 13:45:00,0.2,0.1,4
