Variable,Date,Depth,Data,QC
Chlorophyta (Closterium sp.),2015-01-28 11:20:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2015-04-28 13:20:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2016-01-20 11:45:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2016-04-29 10:45:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2018-05-08 16:20:00,0.2,4.0,4
Chlorophyta (Closterium sp.),2018-06-06 11:45:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2018-07-19 11:00:00,0.2,21.0,4
Chlorophyta (Closterium sp.),2019-09-26 10:55:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2019-10-22 12:25:00,0.2,460.0,4
Chlorophyta (Closterium sp.),2022-04-29 12:00:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2022-08-30 12:40:00,0.2,57.0,4
Chlorophyta (Closterium sp.),2023-08-10 13:05:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2023-08-15 16:00:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2023-08-23 12:00:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2023-08-30 13:40:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2023-09-20 11:15:00,0.2,1.0,4
Chlorophyta (Closterium sp.),2023-11-10 16:55:00,0.2,30.0,4
Chlorophyta (Closterium sp.),2023-11-22 15:10:00,0.2,89.0,4
