Variable,Date,Depth,Data,QC
Cryptophyta,2014-01-08 15:00:00,0.2,58.0,4.0
Cryptophyta,2014-05-12 13:45:00,0.2,360.0,4.0
Cryptophyta,2014-07-23 09:40:00,0.2,131.0,4.0
Cryptophyta,2014-09-18 09:50:00,0.2,210.0,4.0
Cryptophyta,2014-11-21 11:30:00,0.2,149.0,4.0
Cryptophyta,2015-01-28 11:20:00,0.2,151.0,4.0
Cryptophyta,2015-02-23 12:39:00,0.2,188.0,4.0
Cryptophyta,2015-04-28 13:20:00,0.2,270.0,4.0
Cryptophyta,2015-05-14 09:56:00,0.2,749.0,4.0
Cryptophyta,2015-05-27 13:35:00,0.2,260.0,4.0
Cryptophyta,2015-07-22 10:20:00,0.2,290.0,4.0
Cryptophyta,2015-08-13 13:30:00,0.2,290.0,4.0
Cryptophyta,2015-09-15 10:35:00,0.2,390.0,4.0
Cryptophyta,2015-10-14 11:45:00,0.2,230.0,4.0
Cryptophyta,2015-11-24 11:00:00,0.2,350.0,4.0
Cryptophyta,2015-12-16 11:40:00,0.2,39.0,4.0
Cryptophyta,2016-01-20 11:45:00,0.2,181.0,4.0
Cryptophyta,2016-03-23 12:50:00,0.2,489.0,4.0
Cryptophyta,2016-04-29 10:45:00,0.2,570.0,4.0
Cryptophyta,2016-05-26 12:30:00,0.2,980.0,4.0
Cryptophyta,2016-06-22 09:15:00,0.2,190.0,4.0
Cryptophyta,2016-07-21 10:10:00,0.2,380.0,4.0
Cryptophyta,2016-09-14 10:05:00,0.2,190.0,4.0
Cryptophyta,2016-10-18 15:30:00,0.2,140.0,4.0
Cryptophyta,2016-11-25 09:00:00,0.2,115.0,4.0
Cryptophyta,2017-03-29 12:35:00,0.2,79.0,4.0
Cryptophyta,2017-05-24 09:25:00,0.2,2.0,4.0
Cryptophyta,2017-06-21 14:05:00,0.2,110.0,4.0
Cryptophyta,2017-07-25 14:20:00,0.2,19.0,4.0
Cryptophyta,2017-09-11 14:40:00,0.2,1.0,4.0
Cryptophyta,2018-01-11 15:50:00,0.2,2.0,4.0
Cryptophyta,2018-02-22 12:45:00,0.2,29.0,4.0
Cryptophyta,2018-03-22 12:55:00,0.2,49.0,4.0
Cryptophyta,2018-04-18 12:55:00,0.2,77.0,4.0
Cryptophyta,2018-05-08 16:20:00,0.2,1.0,4.0
Cryptophyta,2018-06-06 11:45:00,0.2,77.0,4.0
Cryptophyta,2018-07-19 11:00:00,0.2,314.0,4.0
Cryptophyta,2018-09-13 14:15:00,0.2,380.0,4.0
Cryptophyta,2018-11-28 09:25:00,0.2,84.0,4.0
Cryptophyta,2019-01-09 13:35:00,0.2,10.0,4.0
Cryptophyta,2019-03-13 15:00:00,0.2,12.0,4.0
Cryptophyta,2019-04-16 17:35:00,0.2,160.0,4.0
Cryptophyta,2019-05-21 17:10:00,0.2,190.0,4.0
Cryptophyta,2019-06-19 16:15:00,0.2,350.0,4.0
Cryptophyta,2019-07-23 14:30:00,0.2,678.0,4.0
Cryptophyta,2019-08-27 16:55:00,0.2,401.0,4.0
Cryptophyta,2019-09-26 10:55:00,0.2,47.0,4.0
Cryptophyta,2019-10-22 12:25:00,0.2,370.0,4.0
Cryptophyta,2019-11-19 12:10:00,0.2,2.0,4.0
Cryptophyta,2020-02-17 12:25:00,0.2,79.0,4.0
Cryptophyta,2020-05-13 11:30:00,0.2,59.0,4.0
