Variable,Date,Depth,Data,QC
Cyanobacteria (Anabaena sp.),16/04/2019 17:35,0.2,140.0,4
Cyanobacteria (Anabaena sp.),21/05/2019 17:10,0.2,72.0,4
Cyanobacteria (Anabaena sp.),22/02/2018 12:45,0.2,1.0,4
Cyanobacteria (Anabaena sp.),23/11/2017 15:00,0.2,43.0,4
Cyanobacteria (Anabaena sp.),11/09/2017 14:40,0.2,12.0,4
Cyanobacteria (Anabaena sp.),27/04/2017 16:55,0.2,31.0,4
Cyanobacteria (Anabaena sp.),29/03/2017 12:35,0.2,27.0,4
Cyanobacteria (Anabaena sp.),24/05/2017 9:25,0.2,6.0,4
Cyanobacteria (Anabaena sp.),26/05/2016 12:30,0.2,54.0,4
Cyanobacteria (Anabaena sp.),29/04/2016 10:45,0.2,11.0,4
Cyanobacteria (Anabaena sp.),20/01/2016 11:45,0.2,12.0,4
Cyanobacteria (Anabaena sp.),23/02/2015 12:39,0.2,35.0,4
Cyanobacteria (Anabaena sp.),28/01/2015 11:20,0.2,21.0,4
Cyanobacteria (Anabaena sp.),18/09/2014 9:50,0.2,6700.0,4
Cyanobacteria (Anabaena sp.),23/07/2014 9:40,0.2,690.0,4
Cyanobacteria (Anabaena sp.),8/01/2014 15:00,0.2,400.0,4
