Variable,Date,Depth,Data,QC
Cyanobacteria (Total Blue Green Algae),5/01/2024 12:10,0.2,740.0,4
Cyanobacteria (Total Blue Green Algae),14/12/2023 12:20,0.2,730.0,4
Cyanobacteria (Total Blue Green Algae),7/12/2023 10:45,0.2,0.0,4
Cyanobacteria (Total Blue Green Algae),29/11/2023 11:00,0.2,15.0,4
Cyanobacteria (Total Blue Green Algae),22/11/2023 15:10,0.2,89.0,4
Cyanobacteria (Total Blue Green Algae),10/11/2023 16:55,0.2,0.0,4
Cyanobacteria (Total Blue Green Algae),2/11/2023 16:20,0.2,85.0,4
Cyanobacteria (Total Blue Green Algae),17/10/2023 16:00,0.2,450.0,4
Cyanobacteria (Total Blue Green Algae),28/09/2023 12:30,0.2,530.0,4
Cyanobacteria (Total Blue Green Algae),20/09/2023 11:15,0.2,1300.0,4
Cyanobacteria (Total Blue Green Algae),13/09/2023 15:35,0.2,2300.0,4
Cyanobacteria (Total Blue Green Algae),30/08/2023 13:40,0.2,69.0,4
Cyanobacteria (Total Blue Green Algae),23/08/2023 12:00,0.2,38.0,4
Cyanobacteria (Total Blue Green Algae),6/09/2023 13:05,0.2,68.0,4
Cyanobacteria (Total Blue Green Algae),15/08/2023 16:00,0.2,180.0,4
Cyanobacteria (Total Blue Green Algae),10/08/2023 13:05,0.2,84.0,4
Cyanobacteria (Total Blue Green Algae),19/07/2023 11:17,0.2,240.0,4
Cyanobacteria (Total Blue Green Algae),20/04/2023 13:25,0.2,45000.0,4
Cyanobacteria (Total Blue Green Algae),7/06/2023 13:00,0.2,0.0,4
Cyanobacteria (Total Blue Green Algae),24/05/2023 15:25,0.2,110.0,4
Cyanobacteria (Total Blue Green Algae),28/04/2023 11:30,0.2,21000.0,4
Cyanobacteria (Total Blue Green Algae),5/04/2023 12:25,0.2,50000.0,4
Cyanobacteria (Total Blue Green Algae),9/03/2023 11:50,0.2,180000.0,4
Cyanobacteria (Total Blue Green Algae),24/02/2023 11:40,0.2,230000.0,4
Cyanobacteria (Total Blue Green Algae),14/12/2022 14:55,0.2,130000.0,4
Cyanobacteria (Total Blue Green Algae),20/09/2022 11:15,0.2,24000.0,4
Cyanobacteria (Total Blue Green Algae),12/05/2023 12:15,0.2,1600.0,4
Cyanobacteria (Total Blue Green Algae),14/04/2023 11:20,0.2,52000.0,4
Cyanobacteria (Total Blue Green Algae),31/03/2023 11:15,0.2,49000.0,4
Cyanobacteria (Total Blue Green Algae),24/03/2023 11:25,0.2,5700.0,4
Cyanobacteria (Total Blue Green Algae),20/03/2023 12:15,0.2,160000.0,4
Cyanobacteria (Total Blue Green Algae),30/08/2022 12:40,0.2,12000.0,4
Cyanobacteria (Total Blue Green Algae),27/05/2022 13:15,0.2,340000.0,4
Cyanobacteria (Total Blue Green Algae),29/04/2022 12:00,0.2,96000.0,4
Cyanobacteria (Total Blue Green Algae),22/06/2021 14:20,0.2,84000.0,4
Cyanobacteria (Total Blue Green Algae),21/05/2021 15:00,0.2,300000.0,4
Cyanobacteria (Total Blue Green Algae),10/06/2020 12:30,0.2,280000.0,4
Cyanobacteria (Total Blue Green Algae),13/05/2020 11:30,0.2,230000.0,4
Cyanobacteria (Total Blue Green Algae),17/02/2020 12:25,0.2,53000.0,4
Cyanobacteria (Total Blue Green Algae),23/01/2020 13:46,0.2,100000.0,4
Cyanobacteria (Total Blue Green Algae),16/12/2019 11:10,0.2,200000.0,4
Cyanobacteria (Total Blue Green Algae),19/11/2019 12:10,0.2,25000.0,4
Cyanobacteria (Total Blue Green Algae),22/10/2019 12:25,0.2,31000.0,4
Cyanobacteria (Total Blue Green Algae),26/09/2019 10:55,0.2,4100.0,4
Cyanobacteria (Total Blue Green Algae),27/08/2019 16:55,0.2,6200.0,4
Cyanobacteria (Total Blue Green Algae),23/07/2019 14:30,0.2,14000.0,4
Cyanobacteria (Total Blue Green Algae),13/09/2018 14:15,0.2,1900.0,4
Cyanobacteria (Total Blue Green Algae),19/06/2019 16:15,0.2,33000.0,4
