Variable,Date,Depth,Data,QC
Organic Carbon Non-Purgeable (NPOC Dis),16/02/2024 10:20,0.2,18.0,4
Organic Carbon Non-Purgeable (NPOC Dis),25/01/2024 11:20,0.2,11.0,4
Organic Carbon Non-Purgeable (NPOC Dis),8/02/2024 15:05,0.2,14.0,4
Organic Carbon Non-Purgeable (NPOC Dis),18/01/2024 15:30,0.2,13.0,4
Organic Carbon Non-Purgeable (NPOC Dis),8/01/2024 14:55,0.2,12.0,4
Organic Carbon Non-Purgeable (NPOC Dis),5/01/2024 12:10,0.2,7.4,4
Organic Carbon Non-Purgeable (NPOC Dis),18/12/2023 12:30,0.2,11.0,4
Organic Carbon Non-Purgeable (NPOC Dis),14/12/2023 12:20,0.2,9.7,4
Organic Carbon Non-Purgeable (NPOC Dis),7/12/2023 10:55,0.2,9.7,4
Organic Carbon Non-Purgeable (NPOC Dis),29/11/2023 11:00,0.2,14.0,4
Organic Carbon Non-Purgeable (NPOC Dis),22/11/2023 15:10,0.2,12.0,4
Organic Carbon Non-Purgeable (NPOC Dis),10/11/2023 16:55,0.2,8.9,4
Organic Carbon Non-Purgeable (NPOC Dis),2/11/2023 16:20,0.2,11.0,4
Organic Carbon Non-Purgeable (NPOC Dis),10/10/2023 15:30,0.2,6.2,4
Organic Carbon Non-Purgeable (NPOC Dis),17/10/2023 16:00,0.2,7.3,4
Organic Carbon Non-Purgeable (NPOC Dis),4/10/2023 15:45,0.2,12.0,4
Organic Carbon Non-Purgeable (NPOC Dis),28/09/2023 12:30,0.2,9.5,4
Organic Carbon Non-Purgeable (NPOC Dis),20/09/2023 11:15,0.2,6.2,4
Organic Carbon Non-Purgeable (NPOC Dis),13/09/2023 15:35,0.2,7.7,4
Organic Carbon Non-Purgeable (NPOC Dis),30/08/2023 13:40,0.2,10.0,4
Organic Carbon Non-Purgeable (NPOC Dis),23/08/2023 12:00,0.2,11.0,4
Organic Carbon Non-Purgeable (NPOC Dis),6/09/2023 13:05,0.2,9.9,4
Organic Carbon Non-Purgeable (NPOC Dis),15/08/2023 16:00,0.2,11.0,4
