Variable,Date,Depth,Data,QC
Turbidity Filtered,1995-08-16 12:00:00,,,140
Turbidity Filtered,1995-10-03 12:00:00,,,140
Turbidity Filtered,1995-10-24 12:00:00,,,140
Turbidity Filtered,1995-11-08 12:00:00,,,140
Turbidity Filtered,1995-11-27 12:00:00,,,140
Turbidity Filtered,1995-12-18 12:00:00,,,140
Turbidity Filtered,1996-01-09 12:00:00,,,140
Turbidity Filtered,1996-02-15 12:00:00,,,140
Turbidity Filtered,1996-03-07 12:00:00,,,140
Turbidity Filtered,1996-04-15 12:00:00,,,140
Turbidity Filtered,1996-05-16 12:00:00,,,140
Turbidity Filtered,1996-06-11 12:00:00,,,140
Turbidity Filtered,1996-07-08 12:00:00,,,140
Turbidity Filtered,1996-08-08 12:00:00,,,140
Turbidity Filtered,1996-09-06 12:00:00,,,140
Turbidity Filtered,1996-11-05 12:00:00,,,140
Turbidity Filtered,1996-12-02 12:00:00,,,140
Turbidity Filtered,1997-01-07 12:00:00,,,140
Turbidity Filtered,1997-02-03 12:00:00,,,140
Turbidity Filtered,1997-03-24 12:00:00,,,140
Turbidity Filtered,1997-05-05 12:00:00,,,140
Turbidity Filtered,1997-06-17 12:00:00,,,140
Turbidity Filtered,1997-07-22 12:00:00,,,140
Turbidity Filtered,1997-08-20 12:00:00,,,140
Turbidity Filtered,1997-10-20 12:00:00,,,140
Turbidity Filtered,1997-12-08 12:00:00,,,140
Turbidity Filtered,1998-02-16 12:00:00,,,140
Turbidity Filtered,1998-04-21 12:00:00,,,140
Turbidity Filtered,1998-06-15 12:00:00,,,140
Turbidity Filtered,1999-01-12 12:00:00,,21.8,21
Turbidity Filtered,1999-03-10 12:00:00,,21.2,21
Turbidity Filtered,2000-11-20 12:00:00,,,140
Turbidity Filtered,2001-01-22 12:00:00,,19.1,29
Turbidity Filtered,2007-05-01 00:00:00,,1.01,21
Turbidity Filtered,2007-05-15 00:00:00,0.2,4.7,21
Turbidity Filtered,2007-05-30 00:00:00,0.2,4.76,21
Turbidity Filtered,2007-06-12 00:00:00,0.2,7.06,21
Turbidity Filtered,2007-07-12 13:00:00,0.2,,140
Turbidity Filtered,2007-07-26 10:50:00,0.2,5.13,11
