Variable,Date,Depth,Data,QC
Chlorophyta (Monoraphidium sp.),2014-01-08 15:00:00,0.2,39.0,4
Chlorophyta (Monoraphidium sp.),2014-05-12 13:45:00,0.2,1.0,4
Chlorophyta (Monoraphidium sp.),2014-07-23 09:40:00,0.2,560.0,4
Chlorophyta (Monoraphidium sp.),2014-09-18 09:50:00,0.2,370.0,4
Chlorophyta (Monoraphidium sp.),2014-11-21 11:30:00,0.2,1300.0,4
Chlorophyta (Monoraphidium sp.),2015-01-28 11:20:00,0.2,130.0,4
Chlorophyta (Monoraphidium sp.),2015-02-23 12:39:00,0.2,60.0,4
Chlorophyta (Monoraphidium sp.),2015-04-28 13:20:00,0.2,200.0,4
Chlorophyta (Monoraphidium sp.),2015-05-14 09:56:00,0.2,95.0,4
Chlorophyta (Monoraphidium sp.),2015-05-27 13:35:00,0.2,450.0,4
Chlorophyta (Monoraphidium sp.),2015-07-22 10:20:00,0.2,1300.0,4
Chlorophyta (Monoraphidium sp.),2015-08-13 13:30:00,0.2,1700.0,4
Chlorophyta (Monoraphidium sp.),2015-09-15 10:35:00,0.2,7300.0,4
Chlorophyta (Monoraphidium sp.),2015-10-14 11:45:00,0.2,58.0,4
Chlorophyta (Monoraphidium sp.),2015-12-16 11:40:00,0.2,120.0,4
Chlorophyta (Monoraphidium sp.),2016-01-20 11:45:00,0.2,69.0,4
Chlorophyta (Monoraphidium sp.),2016-04-29 10:45:00,0.2,1.0,4
Chlorophyta (Monoraphidium sp.),2016-05-26 12:30:00,0.2,99.0,4
Chlorophyta (Monoraphidium sp.),2016-08-25 09:30:00,0.2,310.0,4
Chlorophyta (Monoraphidium sp.),2016-09-14 10:05:00,0.2,290.0,4
Chlorophyta (Monoraphidium sp.),2017-02-22 14:30:00,0.2,19.0,4
Chlorophyta (Monoraphidium sp.),2017-11-23 15:00:00,0.2,1.0,4
Chlorophyta (Monoraphidium sp.),2018-01-11 15:50:00,0.2,1.0,4
Chlorophyta (Monoraphidium sp.),2019-03-13 15:00:00,0.2,22.0,4
Chlorophyta (Monoraphidium sp.),2019-04-16 17:35:00,0.2,120.0,4
Chlorophyta (Monoraphidium sp.),2019-05-21 17:10:00,0.2,19.0,4
Chlorophyta (Monoraphidium sp.),2019-11-19 12:10:00,0.2,4.0,4
Chlorophyta (Monoraphidium sp.),2020-02-17 12:25:00,0.2,1.0,4
Chlorophyta (Monoraphidium sp.),2020-05-13 11:30:00,0.2,1.0,4
Chlorophyta (Monoraphidium sp.),2022-05-27 13:15:00,0.2,38.0,4
Chlorophyta (Monoraphidium sp.),2022-08-30 12:40:00,0.2,19.0,4
Chlorophyta (Monoraphidium sp.),2022-09-20 11:15:00,0.2,190.0,4
Chlorophyta (Monoraphidium sp.),2023-08-10 13:05:00,0.2,4.0,4
Chlorophyta (Monoraphidium sp.),2023-08-30 13:40:00,0.2,4.0,4
Chlorophyta (Monoraphidium sp.),2023-09-13 15:35:00,0.2,19.0,4
Chlorophyta (Monoraphidium sp.),2023-09-20 11:15:00,0.2,38.0,4
Chlorophyta (Monoraphidium sp.),2023-11-22 15:10:00,0.2,5.0,4
Chlorophyta (Monoraphidium sp.),2023-11-29 11:00:00,0.2,1.0,4
Chlorophyta (Monoraphidium sp.),2023-12-07 10:45:00,0.2,4.0,4
Chlorophyta (Monoraphidium sp.),2023-12-14 12:20:00,0.2,94.0,4
Chlorophyta (Monoraphidium sp.),2024-01-05 12:10:00,0.2,19.0,4
Chlorophyta (Monoraphidium sp.),2024-01-08 14:55:00,0.2,1.0,4
