Variable,Date,Depth,Data,QC
Cyanobacteria (Nodularia spumigena),2015-01-28 11:20:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2018-03-22 12:55:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2022-04-29 12:00:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2023-03-20 12:15:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2023-03-31 11:15:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2023-06-07 13:00:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2023-08-10 13:05:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2023-08-30 13:40:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2023-11-10 16:55:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2023-12-07 10:45:00,0.2,0.0,4
Cyanobacteria (Nodularia spumigena),2024-01-05 12:10:00,0.2,0.0,4
