Variable,Date,Depth,Data,QC
Dinophyta (Peridinium sp.),2014-05-12 13:45:00,0.2,50.0,4
Dinophyta (Peridinium sp.),2015-01-28 11:20:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2015-02-23 12:39:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2015-04-28 13:20:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2015-05-14 09:56:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2015-05-27 13:35:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2015-09-15 10:35:00,0.2,99.0,4
Dinophyta (Peridinium sp.),2016-05-26 12:30:00,0.2,99.0,4
Dinophyta (Peridinium sp.),2016-07-21 10:10:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2016-09-14 10:05:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2019-04-16 17:35:00,0.2,10.0,4
Dinophyta (Peridinium sp.),2019-10-22 12:25:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2022-08-30 12:40:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2022-12-14 14:55:00,0.2,37.0,4
Dinophyta (Peridinium sp.),2023-07-19 11:17:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2023-08-02 12:20:00,0.2,50.0,4
Dinophyta (Peridinium sp.),2023-08-15 16:00:00,0.2,20.0,4
Dinophyta (Peridinium sp.),2023-08-23 12:00:00,0.2,8.0,4
Dinophyta (Peridinium sp.),2023-08-30 13:40:00,0.2,19.0,4
Dinophyta (Peridinium sp.),2023-09-06 13:05:00,0.2,8.0,4
Dinophyta (Peridinium sp.),2023-09-13 15:35:00,0.2,57.0,4
Dinophyta (Peridinium sp.),2023-09-20 11:15:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2023-10-04 15:45:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2023-11-02 16:20:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2023-11-29 11:00:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2023-12-07 10:45:00,0.2,4.0,4
Dinophyta (Peridinium sp.),2023-12-18 12:30:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2024-01-05 12:10:00,0.2,1.0,4
Dinophyta (Peridinium sp.),2024-01-08 14:55:00,0.2,1.0,4
