Variable,Date,Depth,Data,QC
Transparency - Secchi,1998-09-15 11:34:00,3.4,0.5,30
Transparency - Secchi,1998-09-15 12:00:00,,0.3,21
Transparency - Secchi,2008-12-15 11:25:00,0.2,,140
Transparency - Secchi,2009-01-19 13:10:00,,156.0,11
Transparency - Secchi,2009-02-11 11:40:00,,183.0,11
Transparency - Secchi,2009-03-16 11:50:00,,157.0,11
Transparency - Secchi,2009-04-09 12:15:00,,147.0,11
Transparency - Secchi,2009-05-14 12:35:00,,189.0,11
Transparency - Secchi,2009-06-15 11:50:00,,1.47,11
Transparency - Secchi,2009-07-15 12:45:00,,1.4,11
Transparency - Secchi,2009-08-13 16:00:00,,1.34,11
Transparency - Secchi,2009-09-15 12:00:00,,1.36,11
Transparency - Secchi,2009-10-11 12:29:00,,1.46,11
Transparency - Secchi,2009-10-15 12:40:00,,1.39,11
Transparency - Secchi,2009-11-10 12:29:00,,1.46,11
Transparency - Secchi,2009-12-14 12:07:00,,1.87,11
Transparency - Secchi,2010-01-19 12:15:00,,1.82,11
Transparency - Secchi,2010-02-16 12:50:00,,1.95,11
Transparency - Secchi,2010-04-13 12:55:00,,1.49,11
Transparency - Secchi,2010-05-20 11:35:00,,2.51,11
Transparency - Secchi,2010-06-15 11:20:00,,3.11,11
Transparency - Secchi,2010-08-17 12:30:00,,2.03,11
Transparency - Secchi,2010-10-15 11:53:00,,1.8,11
Transparency - Secchi,2011-02-15 12:55:00,0.25,0.265,11
Transparency - Secchi,2011-03-15 12:30:00,0.25,0.348,11
Transparency - Secchi,2011-05-16 14:10:00,0.25,0.299,11
Transparency - Secchi,2012-07-10 13:30:00,0.2,2.3,11
Transparency - Secchi,2012-09-04 12:20:00,0.2,2.2,11
Transparency - Secchi,2012-11-08 11:05:00,0.2,2.31,11
Transparency - Secchi,2013-01-10 12:10:00,0.2,2.42,11
Transparency - Secchi,2013-03-07 11:00:00,0.2,2.4,11
Transparency - Secchi,2013-05-08 11:54:00,0.2,2.0,11
Transparency - Secchi,2013-06-19 11:01:00,0.2,2.1,11
Transparency - Secchi,2013-09-17 12:00:00,0.2,2.1,11
Transparency - Secchi,2013-11-12 14:20:00,0.2,2.4,11
Transparency - Secchi,2014-01-08 14:00:00,0,2.9,11
Transparency - Secchi,2014-03-05 09:50:00,0,2.69,11
Transparency - Secchi,2014-05-12 13:39:00,0,2.26,11
Transparency - Secchi,2014-07-23 09:30:00,0,2.25,11
Transparency - Secchi,2014-09-18 09:50:00,0,1.6,11
Transparency - Secchi,2014-11-21 10:30:00,0,2.05,11
Transparency - Secchi,2015-05-14 09:45:00,0,1.7,11
Transparency - Secchi,2015-05-27 13:25:00,0,1.25,11
Transparency - Secchi,2015-06-11 13:30:00,0,0.92,11
Transparency - Secchi,2015-07-22 10:20:00,0,1.22,11
Transparency - Secchi,2015-08-13 13:25:00,0,1.05,11
Transparency - Secchi,2015-09-15 10:20:00,0,1.56,11
Transparency - Secchi,2015-10-14 11:40:00,0,2.99,11
Transparency - Secchi,2015-11-24 11:00:00,0,2.23,11
Transparency - Secchi,2015-12-16 11:40:00,0,3.25,11
Transparency - Secchi,2016-01-20 11:35:00,0,2.9,11
Transparency - Secchi,2016-03-23 11:50:00,0,1.4,11
Transparency - Secchi,2016-04-29 10:35:00,0,1.3,11
Transparency - Secchi,2016-05-26 12:30:00,0,0.81,11
Transparency - Secchi,2016-06-22 09:15:00,0,1.19,11
Transparency - Secchi,2016-07-21 10:10:00,0,1.32,11
Transparency - Secchi,2016-08-25 09:20:00,0,1.39,11
Transparency - Secchi,2016-09-14 10:00:00,0,1.84,11
Transparency - Secchi,2016-10-18 15:30:00,0,1.56,11
Transparency - Secchi,2016-11-25 09:00:00,0,1.55,11
Transparency - Secchi,2016-12-21 09:35:00,0,1.81,11
Transparency - Secchi,2017-01-27 12:45:00,0,2.3,11
Transparency - Secchi,2017-02-22 14:30:00,0,1.69,11
Transparency - Secchi,2017-03-29 12:35:00,0,1.64,11
Transparency - Secchi,2017-04-27 16:55:00,0,2.43,11
Transparency - Secchi,2017-05-24 09:25:00,0,3.3,11
Transparency - Secchi,2017-06-21 14:05:00,0,2.54,11
Transparency - Secchi,2017-07-25 14:20:00,0,3.17,11
Transparency - Secchi,2017-09-11 14:40:00,0,2.93,11
Transparency - Secchi,2017-11-23 14:45:00,0,3.8,11
Transparency - Secchi,2018-01-11 15:50:00,0,3.28,11
Transparency - Secchi,2018-02-22 12:35:00,0,3.01,11
Transparency - Secchi,2018-03-22 12:50:00,0,1.17,11
Transparency - Secchi,2018-04-18 12:40:00,0,0.92,11
Transparency - Secchi,2018-05-08 16:20:00,0,1.28,11
Transparency - Secchi,2018-06-06 11:40:00,0,1.75,11
Transparency - Secchi,2018-07-19 10:55:00,0,1.27,11
Transparency - Secchi,2018-09-13 14:10:00,0,1.52,11
Transparency - Secchi,2018-11-28 09:15:00,0,1.82,11
Transparency - Secchi,2019-01-09 13:30:00,0,2.65,11
Transparency - Secchi,2019-03-13 14:59:00,0,2.19,11
Transparency - Secchi,2019-04-16 17:35:00,0,2.1,11
Transparency - Secchi,2019-05-21 17:02:00,0,2.18,11
Transparency - Secchi,2019-06-19 16:10:00,0,2.45,11
Transparency - Secchi,2019-07-23 14:25:00,0,2.68,11
Transparency - Secchi,2019-08-27 16:50:00,0,1.91,11
Transparency - Secchi,2019-09-26 10:50:00,0,2.18,11
Transparency - Secchi,2019-10-22 11:20:00,0,1.93,11
Transparency - Secchi,2019-11-19 12:05:00,0,2.71,11
Transparency - Secchi,2019-12-16 11:05:00,0,1.89,11
Transparency - Secchi,2020-01-23 13:45:00,0,1.35,11
Transparency - Secchi,2020-02-17 12:20:00,0,1.69,11
Transparency - Secchi,2020-05-13 11:28:00,0,1.08,11
Transparency - Secchi,2020-06-10 12:25:00,0,1.48,11
Transparency - Secchi,2021-06-22 14:19:00,0,1.49,11
Transparency - Secchi,2022-05-27 13:10:00,0,1.21,11
Transparency - Secchi,2023-06-07 12:55:00,0,0.38,11
Transparency - Secchi,2023-06-22 13:25:00,0,0.39,11
Transparency - Secchi,2023-07-06 10:45:00,0,0.43,11
Transparency - Secchi,2023-07-19 11:10:00,0,0.52,11
Transparency - Secchi,2023-08-02 12:00:00,0,0.62,11
Transparency - Secchi,2023-08-10 13:00:00,0,0.76,11
Transparency - Secchi,2023-08-15 12:00:00,0,0.74,11
Transparency - Secchi,2023-08-23 12:00:00,0,1.16,11
Transparency - Secchi,2023-08-30 13:40:00,0,1.26,11
Transparency - Secchi,2023-09-06 13:00:00,0,1.27,11
Transparency - Secchi,2023-09-13 15:30:00,0,0.96,11
Transparency - Secchi,2023-09-20 11:10:00,0,0.93,11
Transparency - Secchi,2023-09-28 12:25:00,0,1.17,11
Transparency - Secchi,2023-10-04 15:40:00,0,0.97,11
Transparency - Secchi,2023-10-10 15:25:00,0,0.85,11
