Variable,Date,Depth,Data,QC
Chlorophyta (Staurastrum sp.),2015-01-28 11:20:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2015-02-23 12:39:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2015-04-28 13:20:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2015-05-14 09:56:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2015-08-13 13:30:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2015-10-14 11:45:00,0.2,39.0,4
Chlorophyta (Staurastrum sp.),2015-11-24 11:00:00,0.2,99.0,4
Chlorophyta (Staurastrum sp.),2015-12-16 11:40:00,0.2,120.0,4
Chlorophyta (Staurastrum sp.),2016-01-20 11:45:00,0.2,10.0,4
Chlorophyta (Staurastrum sp.),2016-02-18 12:00:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2016-09-14 10:05:00,0.2,190.0,4
Chlorophyta (Staurastrum sp.),2016-11-25 09:00:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2017-11-23 15:00:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2018-03-22 12:55:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2018-05-08 16:20:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2018-09-13 14:15:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2018-11-28 09:25:00,0.2,6.0,4
Chlorophyta (Staurastrum sp.),2019-08-27 16:55:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2019-09-26 10:55:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2019-11-19 12:10:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2021-06-22 14:20:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2022-08-30 12:40:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2022-09-20 11:15:00,0.2,9.0,4
Chlorophyta (Staurastrum sp.),2023-08-02 12:20:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2023-08-15 16:00:00,0.2,4.0,4
Chlorophyta (Staurastrum sp.),2023-08-23 12:00:00,0.2,4.0,4
Chlorophyta (Staurastrum sp.),2023-08-30 13:40:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2023-09-13 15:35:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2023-09-20 11:15:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2023-09-28 12:30:00,0.2,150.0,4
Chlorophyta (Staurastrum sp.),2023-10-04 15:45:00,0.2,27.0,4
Chlorophyta (Staurastrum sp.),2023-10-10 15:30:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2023-10-17 16:00:00,0.2,38.0,4
Chlorophyta (Staurastrum sp.),2023-11-02 16:20:00,0.2,12.0,4
Chlorophyta (Staurastrum sp.),2023-11-22 15:10:00,0.2,5.0,4
Chlorophyta (Staurastrum sp.),2023-12-07 10:45:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2023-12-18 12:30:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2024-01-05 12:10:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2024-01-18 15:30:00,0.2,1.0,4
Chlorophyta (Staurastrum sp.),2024-02-08 15:05:00,0.2,1.0,4
