Variable,Date,Depth,Data,QC
Iron - Total/NonFilt as Fe,1992-11-08 12:00:00,,,140
Iron - Total/NonFilt as Fe,1998-09-15 12:00:00,,0.073,21
Iron - Total/NonFilt as Fe,1998-11-24 12:00:00,,0.183,21
Iron - Total/NonFilt as Fe,1999-01-12 12:00:00,,1.12,21
Iron - Total/NonFilt as Fe,1999-03-10 12:00:00,,1.04,21
Iron - Total/NonFilt as Fe,1999-05-04 12:00:00,,0.786,21
Iron - Total/NonFilt as Fe,2000-07-24 12:00:00,,3.24,11
Iron - Total/NonFilt as Fe,2000-09-18 12:00:00,,2.86,11
Iron - Total/NonFilt as Fe,2000-11-20 12:00:00,,,140
Iron - Total/NonFilt as Fe,2001-01-22 12:00:00,,1.01,29
Iron - Total/NonFilt as Fe,2001-03-20 12:00:00,,1.56,29
Iron - Total/NonFilt as Fe,2001-03-20 12:00:00,,2.69,29
Iron - Total/NonFilt as Fe,2001-05-11 12:00:00,,0.933,29
Iron - Total/NonFilt as Fe,2002-07-30 09:15:00,,1.47,11
Iron - Total/NonFilt as Fe,2002-09-11 13:30:00,,0.885,11
Iron - Total/NonFilt as Fe,2002-11-27 13:15:00,0,1.03,11
Iron - Total/NonFilt as Fe,2003-01-20 09:05:00,0,1.03,11
Iron - Total/NonFilt as Fe,2003-03-03 09:30:00,0,1.68,11
Iron - Total/NonFilt as Fe,2003-05-14 09:10:00,0,0.797,11
Iron - Total/NonFilt as Fe,2007-05-01 16:20:00,0.2,0.087,11
Iron - Total/NonFilt as Fe,2007-05-15 11:45:00,0.2,0.521,11
Iron - Total/NonFilt as Fe,2007-05-30 12:45:00,0.2,0.838,11
Iron - Total/NonFilt as Fe,2007-06-26 00:00:00,0.2,0.58,21
Iron - Total/NonFilt as Fe,2007-06-26 00:00:00,0.2,0.58,21
Iron - Total/NonFilt as Fe,2007-07-12 13:00:00,0.2,0.236,11
Iron - Total/NonFilt as Fe,2007-07-12 13:00:00,0.2,0.236,11
Iron - Total/NonFilt as Fe,2007-07-26 00:00:00,0.2,0.407,11
Iron - Total/NonFilt as Fe,2007-07-26 00:00:00,0.2,0.407,11
Iron - Total/NonFilt as Fe,2007-08-06 00:00:00,0.2,1.35,11
Iron - Total/NonFilt as Fe,2007-08-06 00:00:00,0.2,1.35,11
Iron - Total/NonFilt as Fe,2007-08-21 13:08:00,0.2,0.601,11
Iron - Total/NonFilt as Fe,2007-09-20 00:00:00,0.2,0.455,11
Iron - Total/NonFilt as Fe,2007-10-16 00:00:00,0.2,1.02,11
Iron - Total/NonFilt as Fe,2007-11-15 12:50:00,0.2,0.812,11
Iron - Total/NonFilt as Fe,2007-12-13 14:30:00,0.2,0.38,11
Iron - Total/NonFilt as Fe,2008-01-14 12:30:00,0.2,0.729,11
Iron - Total/NonFilt as Fe,2008-02-15 13:30:00,0.2,0.309,11
Iron - Total/NonFilt as Fe,2008-03-13 13:30:00,0.2,0.122,11
Iron - Total/NonFilt as Fe,2008-04-16 14:00:00,0.2,0.239,11
Iron - Total/NonFilt as Fe,2008-05-14 11:25:00,0.2,0.253,11
Iron - Total/NonFilt as Fe,2008-06-17 14:50:00,0.2,0.381,11
