Variable,Date,Depth,Data,QC
Phosphorus - Reactive Total,21/07/2011 13:30,0.2,0.004,11
Phosphorus - Reactive Total,16/05/2011 14:10,0.2,0.004,11
Phosphorus - Reactive Total,15/03/2011 12:30,0.2,0.004,11
Phosphorus - Reactive Total,15/10/2010 11:54,0.2,0.002,11
Phosphorus - Reactive Total,17/08/2010 12:00,0.2,0.002,11
Phosphorus - Reactive Total,17/08/2010 12:00,0.2,0.003,11
Phosphorus - Reactive Total,15/02/2011 12:55,0.25,0.002,11
Phosphorus - Reactive Total,15/12/2010 12:20,0.2,0.007,11
Phosphorus - Reactive Total,15/06/2010 11:20,,0.005,11
Phosphorus - Reactive Total,20/05/2010 11:35,,0.004,11
Phosphorus - Reactive Total,13/04/2010 12:55,,0.005,11
Phosphorus - Reactive Total,11/10/2009 12:29,,0.003,11
Phosphorus - Reactive Total,16/02/2010 12:50,,0.004,11
Phosphorus - Reactive Total,19/01/2010 12:15,,0.004,11
Phosphorus - Reactive Total,14/12/2009 12:07,,0.004,11
Phosphorus - Reactive Total,10/11/2009 12:29,,0.003,11
Phosphorus - Reactive Total,15/10/2009 12:40,,0.003,11
Phosphorus - Reactive Total,15/09/2009 12:00,,0.003,11
Phosphorus - Reactive Total,13/08/2009 16:00,,0.003,11
Phosphorus - Reactive Total,15/07/2009 12:45,,0.003,11
Phosphorus - Reactive Total,15/06/2009 11:50,,0.003,11
Phosphorus - Reactive Total,14/05/2009 12:35,,0.003,11
Phosphorus - Reactive Total,9/04/2009 12:15,,0.004,11
Phosphorus - Reactive Total,16/03/2009 11:50,,0.008,11
Phosphorus - Reactive Total,11/02/2009 11:40,,0.003,11
Phosphorus - Reactive Total,19/01/2009 13:10,,0.002,11
Phosphorus - Reactive Total,15/12/2008 11:25,0.2,0.002,11
Phosphorus - Reactive Total,11/11/2008 11:00,0.2,0.002,11
Phosphorus - Reactive Total,14/10/2008 13:30,0.2,0.005,11
Phosphorus - Reactive Total,16/09/2008 12:40,0.2,0.005,11
Phosphorus - Reactive Total,19/08/2008 12:45,0.2,0.005,11
Phosphorus - Reactive Total,17/07/2008 13:45,0.2,0.003,11
Phosphorus - Reactive Total,17/06/2008 14:50,0.2,0.006,11
Phosphorus - Reactive Total,14/05/2008 11:25,0.2,0.003,11
Phosphorus - Reactive Total,16/04/2008 14:00,0.2,0.002,11
Phosphorus - Reactive Total,13/03/2008 13:30,0.2,0.004,11
Phosphorus - Reactive Total,15/02/2008 13:30,0.2,0.002,11
Phosphorus - Reactive Total,14/01/2008 12:30,0.2,0.003,11
Phosphorus - Reactive Total,13/12/2007 14:30,0.2,0.002,11
Phosphorus - Reactive Total,15/11/2007 12:50,0.2,0.007,11
Phosphorus - Reactive Total,21/08/2007 13:08,0.2,0.004,11
Phosphorus - Reactive Total,12/07/2007 13:00,0.2,0.004,11
Phosphorus - Reactive Total,26/06/2007 0:00,0.2,0.004,21
Phosphorus - Reactive Total,20/09/2007 0:00,0.2,0.004,11
Phosphorus - Reactive Total,6/08/2007 0:00,0.2,0.005,11
Phosphorus - Reactive Total,26/07/2007 0:00,0.2,0.005,11
Phosphorus - Reactive Total,16/10/2007 0:00,0.2,0.004,11
Phosphorus - Reactive Total,12/07/2007 13:00,0.2,0.004,11
Phosphorus - Reactive Total,26/06/2007 0:00,0.2,0.004,21
Phosphorus - Reactive Total,6/08/2007 0:00,0.2,0.005,11
Phosphorus - Reactive Total,26/07/2007 0:00,0.2,0.005,11
Phosphorus - Reactive Total,30/05/2007 12:45,0.2,0.005,11
Phosphorus - Reactive Total,15/05/2007 11:45,0.2,0.005,11
Phosphorus - Reactive Total,1/05/2007 16:20,0.2,0.005,11
Phosphorus - Reactive Total,17/11/2004 10:10,0,0.007,11
Phosphorus - Reactive Total,7/09/2004 10:10,0,0.005,11
Phosphorus - Reactive Total,13/07/2004 0:00,0,0.004,11
Phosphorus - Reactive Total,14/05/2003 9:10,0,0.004,11
Phosphorus - Reactive Total,3/03/2003 9:30,0,0.002,11
Phosphorus - Reactive Total,20/01/2003 9:05,0,0.003,11
Phosphorus - Reactive Total,27/11/2002 13:15,0,0.004,11
Phosphorus - Reactive Total,11/09/2002 13:30,,0.003,11
Phosphorus - Reactive Total,30/07/2002 9:15,,0.002,11
Phosphorus - Reactive Total,11/05/2001 12:00,,0.005,29
Phosphorus - Reactive Total,20/03/2001 12:00,,0.006,29
Phosphorus - Reactive Total,22/01/2001 12:00,,0.004,29
Phosphorus - Reactive Total,20/11/2000 12:00,,,140
Phosphorus - Reactive Total,18/09/2000 12:00,,0.007,11
Phosphorus - Reactive Total,8/11/1992 12:00,,,140
