Params.Name,Params.Units in dataset,Conv,Key,Key Value,Notes,Category
Salinity,Parts per Thousand,1,var00006,Salinity,,Water Quality (PhysChm)
Nitrogen - Total as N,mg/L,1,var00009,Total Nitrogen,,Water Quality (Nutrient)
Phosphorus as P - Total,mg/l,1,var00010,Total Phosphorus,,Water Quality (Nutrient)
Suspended Solids - Total (TSS),mg/l,1,var00012,Total Suspended Solids,,Water Quality (Nutrient)
Turbidity,NTU/FNU,1,var00013,Turbidity,,Water Quality (Light)
Chlorophyll A (or Chlorophyll),ug/L,1,var00014,Chlorophyll-a,,Water Quality (Nutrient)
Dissolved Oxygen (DO mg/l),mg/l,1,var00023,Dissolved Oxygen,,Water Quality (PhysChm)
Ammonia as N,mg/l,1,var00025,Ammonium,,Water Quality (Nutrient)
Nitrate as N,mg/l,1,var00026,Nitrate,,Water Quality (Nutrient)
Wind Speed,Knots,0.514444,var00130,Wind Speed,,Meteorology
Chlorophyll B,ug/l,1,var00131,Chlorophyll-b,,Water Quality (Nutrient)
Chlorophyll C,ug/L,1,var00132,Chlorophyll-c,,Water Quality (Nutrient)
Cloud cover,Okta,12.5,var00133,Cloud Cover,,Meteorology
Conductivity @ TRef 25,uS/cm (25 TRef),1,var00134,Specific Conductivity,,Water Quality (PhysChm)
Kjeldahl Nitrogen (TKN) as N - Total,mg/l,1,var00136,Total Kjeldahi Nitrogen,,Water Quality (Nutrient)
pH field,,1,var00137,pH,,Water Quality (PhysChm)
Alkalinity - Total,mg/l,1,var00139,Total Alkalinity,,Water Quality (Nutrient)
Transparency - Secchi,Metres,1,var00140,Secchi Depth,,Light
Air Temperature,Degrees C,1,var00153,Air Temperature,,Meteorology
Wave Height,Metres,1,var00180,Water Surface Height,,Hydrodynamics
Nitrite as N,mg/l,1,var00264,Nitrite,,Water Quality (Nutrient)
Wind Direction Estimate,Degrees,1,var00287,Wind Direction,,Meteorology
Phaeophytin,ug/l,1,var00328,Phaeophytin-a,,Water Quality (Nutrient)
Copper - Total/NonFilt as Cu,mg/l,1,var00329,Copper,,Water Quality (Contaminants)
Lead - Total/NonFilt as Pb,mg/l,1,var00330,Lead,,Water Quality (Contaminants)
Nickel - Total/NonFilt as Ni,mg/l,1,var00331,Nickel,,Water Quality (Contaminants)
Zinc - Total/NonFilt as Zn,mg/l,1,var00333,Zinc,,Water Quality (Contaminants)
Chlorophyll A,mg per filter,1,var00600,Chlorophyll-a (mg per filter),"No volume for filter, can't convert unit",Water Quality (Nutrient)
Chlorophyll A (Phaeophytin Corrected),ug/l,1,var00601,Chlorophyll-a (Phaeophytin corrected),,Water Quality (Nutrient)
DONT USE Ammonia as NH3 - Lab Total,mg/l,1,var00602,Ammonium (lab total - DONT USE),DONT USE data,Water Quality (Nutrient)
DONT USE Nitrate as NO3 - Total,mg/l,1,var00603,Nitrate (lab total - DONT USE),DONT USE data,Water Quality (Nutrient)
Wind speed estimate,Beaufort,0.514444,var00604,Wind Speed Estimate,,Meteorology
DONT USE Nitrite as NO2 - Total,mg/l,1,var00605,Nitrite (lab total - DONT USE),DONT USE data,Water Quality (Nutrient)
DONT USE Nitrogen Persulphate Oxid Total,mg/l,1,var00606,Total Nitrogen Persulphate Oxid (DONT USE),No mapping key; DONT USE data,Water Quality (Nutrient)
(Cylindrospermopsis raciborskii),cells/mL,1,var00607,(Cylindrospermopsis raciborskii),No mapping key,Ecology (Planktonic)
Aluminium - Total/NonFilt as Al,mg/l,1,var00608,Total Aluminium,No mapping key,Water Quality (Contaminants)
Bacillariophyta (Achnanthes sp.),cells/mL,1,var00609,Bacillariophyta (Achnanthes sp.),No mapping key,Ecology (Planktonic)
Bacillariophyta (Asterionella sp.),cells/mL,1,var00610,Bacillariophyta (Asterionella sp.),No mapping key,Ecology (Planktonic)
Bacillariophyta (Aulacoseira sp.),cells/mL,1,var00611,Bacillariophyta (Aulacoseira sp.),No mapping key,Ecology (Planktonic)
Bacillariophyta (Cyclotella sp.),cells/mL,1,var00612,Bacillariophyta (Cyclotella sp.),No mapping key,Ecology (Planktonic)
Bacillariophyta (Cymbella hauckii),cells/mL,1,var00613,Bacillariophyta (Cymbella hauckii),No mapping key,Ecology (Planktonic)
Bacillariophyta (Diatoma sp.),cells/mL,1,var00614,Bacillariophyta (Diatoma sp.),No mapping key,Ecology (Planktonic)
Bacillariophyta (Fragilaria sp.),cells/mL,1,var00615,Bacillariophyta (Fragilaria sp.),No mapping key,Ecology (Planktonic)
